wyear,month,use_snowmaking_mm,use_diverted_mm,use_golf_mm
1999,10,0.0,NA,NA
1999,11,9.3,NA,NA
1999,12,21.1,NA,NA
1999,1,16.4,NA,NA
1999,2,5.5,NA,NA
1999,3,1.2,NA,NA
1999,4,NA,NA,NA
1999,5,NA,NA,NA
1999,6,NA,NA,NA
1999,7,NA,NA,NA
1999,8,NA,NA,NA
1999,9,NA,NA,NA
2000,10,0.0,NA,NA
2000,11,10.6,NA,NA
2000,12,24.5,NA,NA
2000,1,14.3,NA,NA
2000,2,1.9,NA,NA
2000,3,0.0,NA,NA
2000,4,NA,NA,NA
2000,5,NA,NA,NA
2000,6,NA,NA,NA
2000,7,NA,NA,NA
2000,8,NA,NA,NA
2000,9,NA,NA,NA
2001,10,0.0,NA,NA
2001,11,7.9,NA,NA
2001,12,24.4,NA,NA
2001,1,11.1,NA,NA
2001,2,2.5,NA,NA
2001,3,0.0,NA,NA
2001,4,NA,NA,NA
2001,5,NA,NA,NA
2001,6,NA,NA,NA
2001,7,NA,NA,NA
2001,8,NA,NA,NA
2001,9,NA,NA,NA
2002,10,0.0,NA,NA
2002,11,6.3,NA,NA
2002,12,19.4,NA,NA
2002,1,14.0,NA,NA
2002,2,3.7,NA,NA
2002,3,0.0,NA,NA
2002,4,NA,NA,NA
2002,5,NA,NA,NA
2002,6,NA,NA,NA
2002,7,NA,NA,NA
2002,8,NA,NA,NA
2002,9,NA,NA,NA
2003,10,0.0,NA,NA
2003,11,16.8,NA,NA
2003,12,29.7,NA,NA
2003,1,2.1,NA,NA
2003,2,2.9,NA,NA
2003,3,0.0,NA,NA
2003,4,NA,NA,NA
2003,5,NA,NA,NA
2003,6,NA,NA,NA
2003,7,NA,NA,NA
2003,8,NA,NA,NA
2003,9,NA,NA,NA
2004,10,0.0,NA,NA
2004,11,8.8,NA,NA
2004,12,27.5,NA,NA
2004,1,14.5,NA,NA
2004,2,1.6,NA,NA
2004,3,0.5,NA,NA
2004,4,NA,NA,NA
2004,5,NA,NA,NA
2004,6,NA,NA,NA
2004,7,NA,NA,NA
2004,8,NA,NA,NA
2004,9,NA,NA,NA
2005,10,0.0,NA,NA
2005,11,8.7,NA,NA
2005,12,20.2,NA,NA
2005,1,24.3,NA,NA
2005,2,1.9,NA,NA
2005,3,0.1,NA,NA
2005,4,0.0,0.9,NA
2005,5,NA,NA,NA
2005,6,NA,NA,NA
2005,7,NA,NA,NA
2005,8,NA,NA,NA
2005,9,NA,NA,NA
2006,10,0.0,NA,NA
2006,11,17.1,NA,NA
2006,12,35.5,NA,NA
2006,1,17.3,NA,NA
2006,2,9.4,NA,NA
2006,3,2.3,NA,NA
2006,4,NA,NA,NA
2006,5,NA,NA,NA
2006,6,NA,NA,NA
2006,7,NA,NA,NA
2006,8,NA,NA,NA
2006,9,NA,NA,NA
2007,10,0.0,NA,0.1
2007,11,9.6,NA,NA
2007,12,26.5,NA,NA
2007,1,29.4,NA,NA
2007,2,10.8,0.0,NA
2007,3,0.2,0.0,NA
2007,4,NA,0.0,0.0
2007,5,NA,0.0,0.7
2007,6,NA,0.1,1.0
2007,7,NA,1.2,0.4
2007,8,NA,0.0,0.8
2007,9,NA,0.0,0.4
2008,10,0.0,0.0,0.1
2008,11,16.6,25.1,NA
2008,12,35.1,41.3,NA
2008,1,27.2,32.5,NA
2008,2,1.9,2.6,NA
2008,3,NA,0.4,NA
2008,4,NA,0.0,0.4
2008,5,NA,0.0,0.4
2008,6,NA,2.9,0.1
2008,7,NA,0.0,0.1
2008,8,NA,0.3,0.3
2008,9,NA,0.0,0.3
2009,10,0.0,NA,0.1
2009,11,20.3,21.4,NA
2009,12,34.7,39.4,NA
2009,1,24.1,16.4,NA
2009,2,3.3,0.7,NA
2009,3,0.7,13.8,NA
2009,4,NA,1.2,0.1
2009,5,NA,2.0,0.2
2009,6,NA,5.0,0.3
2009,7,NA,5.9,0.1
2009,8,NA,1.1,0.3
2009,9,NA,0.0,0.3
2010,10,NA,NA,NA
2010,11,14.4,14.4,NA
2010,12,36.6,40.1,NA
2010,1,20.7,25.7,NA
2010,2,6.6,8.8,NA
2010,3,0.0,15.3,NA
2010,4,NA,0.0,0.0
2010,5,NA,0.0,0.3
2010,6,NA,7.6,0.1
2010,7,0.3,4.4,0.6
2010,8,NA,0.0,0.6
2010,9,NA,0.0,0.4
2011,10,2.8,2.1,0.0
2011,11,13.4,15.4,NA
2011,12,41.3,36.3,NA
2011,1,26.3,19.7,NA
2011,2,1.3,5.3,NA
2011,3,0.0,15.3,NA
2011,4,NA,0.0,0.0
2011,5,NA,0.0,0.3
2011,6,NA,0.0,0.2
2011,7,NA,NA,0.4
2011,8,NA,NA,0.2
2011,9,NA,NA,0.1
2012,10,NA,NA,0.0
2012,11,6.2,10.1,NA
2012,12,35.1,32.2,NA
2012,1,27.9,18.0,NA
2012,2,0.0,7.3,NA
2012,3,0.0,21.3,NA
2012,4,NA,0.0,0.0
2012,5,NA,0.0,0.4
2012,6,NA,NA,0.8
2012,7,NA,NA,0.9
2012,8,NA,NA,0.7
2012,9,NA,NA,0.2
2013,10,NA,NA,0.0
2013,11,30.4,25.7,NA
2013,12,25.7,39.7,NA
2013,1,23.5,16.0,NA
2013,2,8.9,4.7,NA
2013,3,0.0,3.0,NA
2013,4,NA,14.3,0.2
2013,5,NA,10.8,0.6
2013,6,NA,4.5,0.1
2013,7,NA,4.8,0.3
2013,8,NA,0.7,0.5
2013,9,NA,1.7,0.1
2014,10,NA,0.1,0.1
2014,11,27.5,25.4,NA
2014,12,31.3,35.4,NA
2014,1,34.1,24.1,NA
2014,2,2.8,0.9,NA
2014,3,0.0,1.3,NA
2014,4,NA,0.0,0.0
2014,5,NA,0.0,0.2
2014,6,NA,0.0,0.5
2014,7,NA,0.6,0.4
2014,8,NA,0.0,0.2
2014,9,NA,1.3,0.2
2015,10,NA,0.0,0.0
2015,11,30.7,24.1,NA
2015,12,31.9,26.0,NA
2015,1,24.4,8.5,NA
2015,2,0.0,0.0,NA
2015,3,0.0,0.2,NA
2015,4,NA,NA,0.0
2015,5,NA,NA,0.7
2015,6,NA,NA,0.1
2015,7,NA,NA,0.5
2015,8,NA,NA,0.8
2015,9,NA,NA,0.6
2016,10,NA,NA,0.0
2016,11,18.8,20.0,NA
2016,12,19.4,24.7,NA
2016,1,43.8,21.0,NA
2016,2,14.1,26.6,NA
2016,3,0.0,0.0,NA
2016,4,NA,0.0,0.1
2016,5,NA,0.0,0.4
2016,6,NA,NA,0.5
2016,7,NA,NA,0.4
2016,8,NA,NA,0.5
2016,9,NA,NA,0.4
2017,10,NA,NA,0.0
2017,11,16.0,14.5,NA
2017,12,31.6,31.6,NA
2017,1,21.6,3.8,NA
2017,2,11.0,5.1,NA
2017,3,4.4,14.7,NA
2017,4,NA,NA,NA
2017,5,NA,NA,NA
2017,6,NA,NA,NA
2017,7,NA,NA,NA
2017,8,NA,NA,NA
2017,9,NA,NA,NA
2018,10,NA,NA,NA
2018,11,24.9,20.1,NA
2018,12,27.2,9.2,NA
2018,1,18.1,14.8,NA
2018,2,4.0,19.2,NA
2018,3,1.7,6.0,NA
2018,4,NA,NA,0.0
2018,5,NA,NA,0.3
2018,6,NA,NA,1.1
2018,7,NA,NA,0.5
2018,8,NA,NA,0.7
2018,9,NA,NA,0.1
2019,10,NA,NA,NA
2019,11,15.6,18.0,NA
2019,12,23.8,35.8,NA
2019,1,15.3,5.8,NA
2019,2,6.5,0.3,NA
2019,3,NA,NA,NA
2019,4,NA,NA,NA
2019,5,NA,NA,NA
2019,6,NA,NA,NA
2019,7,NA,NA,NA
2019,8,NA,NA,NA
2019,9,NA,NA,NA