myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,3,1.5
2,bothSites,234,hexagonal,13,18,L2norm,noPCA,1500,0.05,0.01,3,1.4
3,bothSites,252,hexagonal,14,18,L2norm,noPCA,1500,0.05,0.01,3,1.3
4,bothSites,228,hexagonal,12,19,L2norm,noPCA,1500,0.05,0.01,3,1.6
5,bothSites,247,hexagonal,13,19,L2norm,noPCA,1500,0.05,0.01,3,1.5
6,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,4,1.5
7,bothSites,234,hexagonal,13,18,L2norm,noPCA,1500,0.05,0.01,4,1.4
8,bothSites,252,hexagonal,14,18,L2norm,noPCA,1500,0.05,0.01,4,1.3
9,bothSites,228,hexagonal,12,19,L2norm,noPCA,1500,0.05,0.01,4,1.6
10,bothSites,247,hexagonal,13,19,L2norm,noPCA,1500,0.05,0.01,4,1.5
11,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,5,1.5
12,bothSites,234,hexagonal,13,18,L2norm,noPCA,1500,0.05,0.01,5,1.4
13,bothSites,252,hexagonal,14,18,L2norm,noPCA,1500,0.05,0.01,5,1.3
14,bothSites,228,hexagonal,12,19,L2norm,noPCA,1500,0.05,0.01,5,1.6
15,bothSites,247,hexagonal,13,19,L2norm,noPCA,1500,0.05,0.01,5,1.5